Place,Kool,"Matemaatika","Eesti keel","Inglise keel",Kokku
1,Tallinna Reaalkool,"108,2","78,0","79,5","265,6"
2,Tallinna Inglise Kolledž,"105,4","70,2","89,8","265,4"
3,Gustav Adolfi Gümnaasium,"94,2","74,6","84,7","253,5"
4,Pärnu Sütevaka Humanitaar­gümnaasium,"92,8","78,0","75,4","246,2"
5,Hugo Treffneri Gümnaasium,"94,1","75,4","73,6","243,1"
6,Tartu Jaan Poska Gümnaasium,"91,0","72,1","67,8","230,9"
7,Tallinna Prantsuse Lütseum,"79,9","73,0","76,0","228,9"
8,Nõo Reaal­gümnaasium,"100,1","62,9","63,2","226,2"
9,Tallinna 21. Kool,"80,4","69,6","73,9","223,9"
10,Vanalinna Haridus­kolleegium,"83,3","69,0","66,5","218,8"
11,EBS Gümnaasium,"82,2","64,1","70,0","216,3"
12,Pärnu Koidula Gümnaasium,"89,0","65,6","60,3","214,9"
13,Miina Härma Gümnaasium,"71,3","67,6","74,1","212,9"
14,Jakob Westholmi Gümnaasium,"81,2","67,1","61,1","209,4"
15,Kadrioru Saksa Gümnaasium,"87,2","62,4","59,6","209,2"
16,Tallinna 32. Keskkool,"66,8","66,8","70,6","204,3"
17,Viimsi Gümnaasium,"74,2","62,9","66,4","203,5"
18,Võru Gümnaasium,"75,5","62,5","59,0","197,0"
19,Läänemaa Ühis­gümnaasium,"78,3","60,7","52,0","191,0"
20,Rocca al Mare Kool,"66,3","59,0","65,3","190,6"
21,Tartu Tamme Gümnaasium,"75,7","62,8","51,9","190,4"
22,Viljandi Gümnaasium,"72,3","62,9","48,6","183,8"
23,Saue Riigi­gümnaasium,"69,4","58,8","55,6","183,8"
24,Tallinna Kristiine Gümnaasium,"59,9","57,3","66,1","183,2"
25,Tallinna Tehnika­gümnaasium,"62,3","53,8","66,1","182,2"
26,Tallinna Nõmme Gümnaasium,"65,8","54,8","61,5","182,1"
27,Vinni-Pajusti Gümnaasium,"57,1","69,4","53,9","180,4"
28,Saaremaa Gümnaasium,"65,7","57,6","56,5","179,8"
29,Tallinna Lilleküla Gümnaasium,"67,5","54,2","58,0","179,7"
30,Tallinna Ühis­gümnaasium,"60,0","61,1","58,1","179,2"
31,Jüri Gümnaasium,"63,9","55,1","60,1","179,1"
32,Saku Gümnaasium,"71,2","53,7","53,0","177,9"
33,Rapla Gümnaasium,"58,6","61,5","55,7","175,8"
34,Vändra Gümnaasium,"55,1","60,3","59,3","174,8"
35,Tabasalu Gümnaasium,"56,1","55,5","61,7","173,3"
36,Jõgevamaa Gümnaasium,"66,1","60,2","46,9","173,2"
37,Tõrva Gümnaasium,"65,9","50,8","56,0","172,7"
38,Paide Gümnaasium,"59,2","58,2","55,2","172,6"
39,Pirita Majandus­gümnaasium,"57,7","51,9","60,2","169,8"
40,Tallinna Järveotsa Gümnaasium,"56,4","54,5","57,5","168,3"
41,Kadrina Keskkool,"51,9","58,5","57,3","167,8"
42,Tallinna Õismäe Gümnaasium,"57,0","53,0","57,3","167,3"
43,Kuusalu Keskkool,"59,2","56,8","51,3","167,3"
44,Audentese Spordi­gümnaasiumi Otepää filiaal,"70,6","58,4","37,3","166,3"
45,Keila Kool,"50,6","57,9","56,0","164,5"
46,Rakvere Riigi­gümnaasium,"52,9","55,3","56,0","164,2"
47,Põlva Gümnaasium,"61,9","54,0","47,9","163,7"
48,Kohtla-Järve Gümnaasium,"62,9","52,4","47,9","163,2"
49,Tarvastu Gümnaasium,"64,7","53,4","44,0","162,1"
50,Noarootsi Gümnaasium,"51,5","54,8","55,7","162,0"
51,Loo Keskkool,"51,0","54,6","55,9","161,5"
52,Kohila Gümnaasium,"58,5","53,6","49,2","161,4"
53,Tartu Waldorf­gümnaasium,"40,9","57,5","60,0","158,3"
54,Tallinna Muusika- ja Balletikool,"45,7","61,6","50,0","157,3"
55,Tallinna Mustamäe Gümnaasium,"45,9","53,5","55,8","155,2"
56,Tallinna Kuristiku Gümnaasium,"53,7","48,8","52,6","155,1"
57,Väike-Maarja Gümnaasium,"55,2","48,1","51,4","154,7"
58,Toila Gümnaasium,"62,3","55,6","36,7","154,5"
59,Märjamaa Gümnaasium,"40,4","56,9","57,0","154,3"
60,Tallinna Laagna Gümnaasium,"53,5","55,4","44,6","153,6"
61,Tallinna Saksa Gümnaasium,"33,7","57,0","62,2","152,9"
62,August Kitzbergi nimeline Gümnaasium,"58,1","54,3","40,3","152,7"
63,Kilingi-Nõmme Gümnaasium,"50,3","60,0","42,3","152,5"
64,Audentese Spordi­gümnaasium,"50,5","55,6","46,1","152,2"
65,Kiili Gümnaasium,"53,9","52,7","43,0","149,7"
66,Kose Gümnaasium,"60,7","61,5","26,2","148,3"
67,Tartu Katoliku Hariduskeskus,"43,0","49,1","55,3","147,4"
68,Tartu Kristjan Jaak Petersoni Gümnaasium,"48,2","55,2","42,1","145,5"
69,Lihula Gümnaasium,"44,8","52,7","47,0","144,5"
70,Koeru Keskkool,"44,7","53,1","46,1","143,9"
71,Kehra Gümnaasium,"48,5","62,4","32,1","143,0"
72,Põltsamaa Ühis­gümnaasium,"41,3","53,7","43,8","138,8"
73,Otepää Gümnaasium,"59,2","52,7","26,6","138,4"
74,Elva Gümnaasium,"46,1","55,8","34,3","136,3"
75,Pelgulinna Gümnaasium,"33,5","54,2","48,3","136,0"
76,Hiiumaa Gümnaasium,"50,7","49,0","35,9","135,6"
77,Ülenurme Gümnaasium,"48,1","46,4","38,7","133,3"
78,Audentese Erakool,"36,0","53,8","42,5","132,3"
79,Lähte Ühis­gümnaasium,"44,7","48,6","36,7","130,0"
80,Tamsalu Gümnaasium,"40,4","54,2","34,9","129,5"
81,Valga Gümnaasium,"47,2","44,3","37,5","129,1"
82,Võnnu Keskkool,"33,7","49,7","44,1","127,5"
83,Tallinna Arte Gümnaasium,"33,5","49,2","44,6","127,4"
84,Pärnu Ühis­gümnaasium,"36,3","49,8","40,9","127,0"
85,Türi Ühis­gümnaasium,"39,4","56,6","30,4","126,4"
86,Tallinna Vaba Waldorfkool,"20,4","53,5","51,8","125,7"
87,Luunja Keskkool,"45,9","43,3","35,9","125,1"
88,Jõhvi Gümnaasium,"55,8","48,8","19,0","123,6"
89,Orissaare Gümnaasium,"30,4","53,0","37,5","120,9"
90,Kunda Ühis­gümnaasium,"32,5","55,1","29,6","117,2"
91,Narva Vanalinna Põhikool,"65,8","38,1","13,1","117,0"
92,Parksepa Keskkool,"37,4","47,2","31,4","116,0"
93,Tartu Täis­kasvanute Gümnaasium,"38,3","48,3","28,4","115,0"
94,Antsla Gümnaasium,"42,1","46,3","26,1","114,5"
95,Tapa Gümnaasium,"38,4","40,6","34,0","113,1"
96,Suure-Jaani Gümnaasium,"30,9","48,7","30,0","109,6"
97,Tõstamaa Keskkool,"30,4","50,8","28,1","109,3"
98,Tartu Rakenduslik Kolledž,"28,6","33,9","46,3","108,8"
99,Tartu Herbert Masingu Kool,"30,9","58,8","19,1","108,8"
100,Iisaku Gümnaasium,"24,6","54,3","29,4","108,3"
101,Sindi Gümnaasium,"38,5","39,5","29,5","107,5"
102,Tallinna Kunsti­gümnaasium,"22,0","43,7","39,1","104,8"
103,Rõngu Keskkool,"40,6","47,2","13,2","101,0"
104,Kanepi Gümnaasium,"37,4","39,9","22,2","99,5"
105,Tartu Kunstikool,"14,4","41,9","42,6","98,9"
106,Tallinna Vanalinna Täis­kasvanute Gümnaasium,"23,1","40,2","33,9","97,3"
107,Räpina Ühis­gümnaasium,"19,0","41,7","36,5","97,2"
108,Tallinna Polütehnikum,"36,5","34,8","24,3","95,6"
109,Kiviõli I Keskkool,"34,9","32,5","22,5","89,9"
110,Rakvere Era­gümnaasium,"23,5","45,7","18,3","87,5"
111,Tallinna Täis­kasvanute Gümnaasium,"24,2","44,8","16,8","85,7"
112,Viljandi Täis­kasvanute Gümnaasium,"13,9","47,1","20,6","81,7"
113,Tallinna Tööstus­haridus­keskus,"24,3","35,0","21,1","80,4"
114,Abja Gümnaasium,"20,0","31,1","26,9","78,0"
115,Paldiski Ühis­gümnaasium,"24,8","42,4","10,8","78,0"
116,Pärnu Täis­kasvanute Gümnaasium,"17,6","42,6","17,4","77,6"
117,Tallinna Teeninduskool,"10,5","39,0","27,8","77,3"
118,Järva-Jaani Gümnaasium,"27,1","34,4","14,4","75,9"
119,Viljandi Kutse­õppe­keskus,"12,6","33,2","29,1","74,8"
120,Olustvere Teenindus- ja Maa­majandus­kool,"19,8","34,8","17,8","72,4"
121,Kuressaare Täis­kasvanute Gümnaasium,"17,6","41,9","12,3","71,8"
122,Rakvere Ametikool,"14,3","42,7","13,9","70,8"
123,Haapsalu Kutse­haridus­keskus,"19,1","32,8","19,0","70,8"
124,Ida-Virumaa Kutse­haridus­keskus,"32,9","26,8","8,8","68,5"
125,Järvamaa Kutse­haridus­keskus,"16,3","37,5","11,6","65,4"
126,Narva Eesti Põhikool,"17,6","38,4","7,1","63,1"
